date,gpu_server,name,latitude,longitude,date,time_start,time_end,no_correct_wear_mask,no_incorrect_wear_mask,no_not_wear_mask,total,percentage
2021-01-15 18:59:15.168346,iApp GPU 1,ตลาดทุ่งครุ,13.7037576,100.4508963,12012021,80000,90000,578,0,12,590,97.96610169491530
2021-01-15 19:07:09.897503,iApp GPU 1,แนวถนนพระราม4-2,13.7278206,100.5410795,12012021,80000,90000,21,0,8,29,72.41379310344830
2021-01-15 19:16:46.603655,iApp GPU 1,แนวถนนพระราม1-2,13.7458795,100.5320718,12012021,80000,90000,93,1,0,94,98.93617021276600
2021-01-15 20:15:09.617229,iApp GPU 1,แนวถนนราชดำริ1,13.7461059,100.5404026,12012021,80000,90000,36,1,5,42,85.71428571428570
2021-01-15 20:23:33.957300,iApp GPU 1,แนวถนนราชดำริ2-1,13.7490615,100.5408839,12012021,80000,90000,202,1,23,226,89.38053097345130
2021-01-15 20:25:15.312859,iApp GPU 1,แนวถนนพระราม1-1,13.7458795,100.5320718,12012021,80000,90000,12,0,1,13,92.3076923076923
2021-01-15 20:57:45.398782,iApp GPU 1,แนวถนนราชดำริ2-2,13.7476166,100.5407992,12012021,80000,90000,122,0,2,124,98.38709677419360
